SSDSE-A-2021,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R29206,ìﬁó«åß,ç˜à‰és,57244,27060,30184,56747,26847,29900,7037,3641,3396,33687,16289,17398,16419,7087,9332,7914,3085,4829,460,343,684,1363,1691,21672,21647,56559,13613,5136,5696,2989,2533,234,99,9891,3958,2413,8,0,0,189,331,1,11,32,650,29,138,64,251,184,81,211,22,211,17560,50,0,0,1009,3048,16,22,568,4257,467,357,292,1762,659,438,3319,303,993,644,722,102.6,7.7,23447420,6261874,23028529,9672936,1481010,1672065,172774,9,619,11,214,2819,4,100,1304,0,0,0,0,3,1838,24553,13735,10818,1944,1320,624,21585,7310,14275,656,6267,17278,15,1,57491,6092,529,215,9,3,50,29,127,32,127,7,1125
R29207,ìﬁó«åß,å‹ûäés,30997,14577,16420,30825,14486,16339,3019,1539,1480,17444,8579,8865,10528,4455,6073,5630,2083,3547,172,111,472,467,808,11199,11173,29968,6735,2485,3373,1747,1549,90,46,29202,7455,1404,12,1,0,162,170,3,1,24,364,23,90,25,141,111,22,89,23,143,11142,124,2,0,822,3430,51,14,252,2019,260,218,165,752,473,167,1598,263,532,1243,634,103.2,15.3,20938960,3463962,20489935,5153371,2002839,1381850,578744,2,67,8,139,1174,6,101,883,0,0,0,0,3,1387,14549,8154,6395,850,586,264,12530,4273,8257,2252,3589,8538,18,1,30518,6360,307,113,2,1,32,13,29,14,30,9,693
R29208,ìﬁó«åß,å‰èäés,26868,12499,14369,26656,12428,14228,2337,1179,1158,14471,7130,7341,9976,4150,5826,5080,1921,3159,161,103,429,529,704,10415,10396,26062,6012,2757,3188,1752,1650,79,38,6058,2924,1047,6,0,2,89,203,0,3,23,289,11,29,19,61,64,20,81,15,132,9339,46,0,26,546,2626,0,19,338,1724,128,93,64,433,289,95,2175,182,555,754,622,105.9,13.5,14904009,2821945,14476060,5075382,1262416,1457152,54516,4,108,7,115,864,5,85,686,0,0,0,0,2,748,11004,6291,4713,719,510,209,11871,4080,7791,553,3075,7023,2,1,26129,5941,226,47,3,2,28,18,56,21,66,8,544
R29209,ìﬁó«åß,ê∂ãÓés,118233,55972,62261,117239,55468,61771,17360,8837,8523,69444,32908,36536,30293,13559,16734,12409,5170,7239,878,744,1005,3206,3673,45593,45547,117060,32226,10098,12371,7334,4380,397,163,5315,3389,2817,4,0,0,153,208,3,33,33,681,44,222,99,328,285,174,367,13,170,27043,25,0,0,909,3245,38,352,1347,6041,534,652,626,2776,1274,2007,6291,100,826,274,491,93.5,2.5,37073611,17121807,35013975,14233009,3505482,4358257,35994,12,1530,12,398,6929,8,220,3196,0,0,0,0,2,2002,51503,29302,22201,2124,1393,731,44162,14734,29428,411,10577,39511,0,3,119795,1612,570,285,17,6,94,62,311,73,254,18,2343
R29210,ìﬁó«åß,çÅé≈és,77561,36779,40782,75656,36029,39627,12712,6444,6268,45745,21747,23998,16783,7486,9297,7278,2968,4310,357,662,611,2324,2631,27802,27774,76485,19440,5323,6296,3516,2020,373,107,2426,1828,1903,3,0,0,157,204,0,15,21,429,23,109,68,202,213,124,218,14,103,16165,27,0,0,750,2552,0,30,676,3867,288,348,284,1757,958,776,3001,265,586,177,447,89.8,16.9,24385236,9023599,23913505,9453934,2026894,2849791,895,8,733,11,337,5391,5,182,2828,0,0,0,0,2,1302,32430,18576,13854,1473,930,543,25974,8431,17543,181,8497,22722,1,1,79385,1579,356,164,10,4,58,41,100,52,116,11,1368
R29211,ìﬁó«åß,äãèÈés,36635,17357,19278,36435,17269,19166,5568,2869,2699,21308,10217,11091,9699,4229,5470,4249,1628,2621,186,289,334,959,981,12544,12526,35735,8317,2264,3216,1765,1086,146,66,3372,2042,1163,1,0,0,111,233,0,5,24,266,9,79,24,100,79,14,84,11,123,11576,13,0,0,621,4290,0,33,708,1811,90,202,138,887,452,85,1620,84,542,585,611,98.9,7.3,15278756,4097157,14907315,5275136,2013823,1658567,156507,6,612,5,164,2404,2,76,1055,0,0,0,0,0,0,15992,9174,6818,780,500,280,13572,4437,9135,547,4643,10325,53,2,37427,699,216,91,3,0,22,16,24,22,56,5,744
R29212,ìﬁó«åß,âFë…és,31105,14708,16397,30959,14645,16314,2997,1566,1431,16718,8149,8569,11386,4993,6393,5687,2218,3469,139,110,461,427,815,11155,11136,30275,6752,2245,3706,2073,1496,80,39,24750,6460,1302,4,0,0,172,167,1,4,21,345,12,39,27,96,106,39,93,23,153,7502,67,0,0,727,1017,11,15,384,1625,122,86,124,463,552,125,1413,215,556,1196,801,100.4,14.1,18561210,2654648,18248909,4889771,1533614,1658154,899170,3,139,6,111,1152,4,78,620,0,0,0,0,2,645,13995,7865,6130,693,473,220,12892,4539,8353,1204,3057,9230,4,2,30574,4032,310,83,1,2,22,14,42,16,34,5,367
R29322,ìﬁó«åß,éRìYë∫,3674,1752,1922,3660,1749,1911,304,157,147,1815,939,876,1555,656,899,857,303,554,14,8,78,48,63,1144,1140,3574,443,212,314,148,145,9,3,6652,2524,204,3,0,0,50,41,0,0,1,49,1,3,1,12,17,0,11,5,10,1442,49,0,0,138,471,0,0,5,190,1,9,2,53,272,0,169,32,51,279,316,86.2,2.4,3247787,463167,3050565,630616,224522,284960,389506,0,0,1,14,126,1,13,72,0,0,0,0,1,30,1867,1054,813,64,47,17,1439,494,945,382,513,972,33,0,3567,476,45,10,0,0,5,1,2,0,0,0,0
R29342,ìﬁó«åß,ïΩåQí¨,18883,8908,9975,18773,8855,9918,2065,1062,1003,9995,4724,5271,6708,3052,3656,2864,1241,1623,77,80,228,496,452,7158,7148,18663,5149,1234,2741,1637,799,63,25,2390,1256,416,3,0,0,58,29,0,4,4,110,7,15,18,36,32,17,33,4,46,3002,38,0,0,205,224,0,21,98,1126,52,34,47,232,83,80,517,28,217,198,114,98.9,15.6,8948325,1975807,8846243,2110993,537561,2817914,59967,1,203,3,69,778,1,32,432,0,0,0,0,0,0,7798,4417,3381,444,297,147,8265,2958,5307,458,1642,5511,3,1,18926,578,88,30,2,0,11,10,11,11,34,2,302
R29343,ìﬁó«åß,éOãΩí¨,23571,11050,12521,23400,10971,12429,3026,1585,1441,13437,6419,7018,7040,3000,4040,3289,1254,2035,145,166,250,810,867,9155,9096,22547,5861,2405,2482,1430,959,91,34,879,602,445,0,0,0,41,38,0,4,2,97,8,30,20,40,31,26,74,3,31,4033,0,0,0,166,336,0,55,31,463,30,174,102,273,153,243,1871,18,118,12,75,88.6,0,11283257,2130719,10723129,3227483,952715,3670832,58568,3,419,2,69,1143,1,39,544,0,0,0,0,1,575,9410,5301,4109,494,318,176,9845,3405,6440,89,2277,6929,0,1,23071,235,79,32,0,2,14,6,116,8,49,4,448
R29344,ìﬁó«åß,î¡îµí¨,27303,12881,14422,27174,12813,14361,3790,1902,1888,15619,7471,8148,7875,3498,4377,3519,1460,2059,127,201,280,838,772,10330,10323,27076,7251,2090,3095,1757,1137,95,47,1427,1081,746,0,0,0,51,70,0,3,15,212,8,62,22,77,72,28,69,6,51,5531,0,0,0,274,1012,0,7,281,1387,73,123,55,594,353,120,735,49,468,215,268,93.6,6.9,9057653,2978449,8713084,3272142,868428,1168223,12226,4,513,3,99,1663,2,54,710,0,0,0,0,1,941,11625,6549,5076,539,366,173,10530,3628,6902,225,2789,8311,3,1,28347,1068,177,70,2,0,22,10,14,15,33,3,473
R29345,ìﬁó«åß,à¿ìgí¨,7443,3532,3911,7379,3507,3872,701,377,324,4470,2187,2283,2272,968,1304,1014,367,647,64,41,75,228,252,2875,2872,7283,1822,672,831,426,293,35,12,431,431,176,1,0,0,17,34,0,2,14,29,2,10,5,3,9,3,18,2,27,1945,1,0,0,44,819,0,10,292,169,8,28,33,3,24,50,343,13,108,126,151,97.6,6.3,3733116,720283,3541831,926637,463720,409876,0,0,0,1,24,280,1,14,125,0,0,0,0,0,0,3258,1875,1383,310,213,97,3161,1059,2102,94,930,2152,7,0,7414,408,20,2,0,0,2,2,2,1,1,1,121
R29361,ìﬁó«åß,êÏêºí¨,8485,4098,4387,8348,4006,4342,1039,523,516,4831,2388,2443,2609,1183,1426,1150,507,643,134,49,104,185,206,3248,3247,8477,2142,700,1016,587,365,29,10,593,593,296,0,0,0,32,56,2,0,5,51,6,9,8,26,23,9,21,4,44,4050,0,0,0,177,2641,82,0,78,350,51,28,26,97,64,51,197,19,189,179,145,84.6,8.6,4712285,1160358,4282158,1129503,617605,806782,0,1,107,1,29,411,1,30,331,0,0,0,0,0,0,3656,2105,1551,222,154,68,3468,1265,2203,75,1047,2467,1,1,8624,12,41,24,2,0,6,6,3,7,1,1,99
R29362,ìﬁó«åß,éOëÓí¨,6836,3204,3632,6795,3195,3600,701,338,363,3885,1877,2008,2250,989,1261,1040,427,613,41,34,95,155,213,2629,2626,6814,1725,551,856,485,303,17,5,406,406,203,0,0,0,21,60,0,0,11,41,1,14,1,6,12,5,14,3,14,1479,0,0,0,67,668,0,0,122,179,1,25,7,18,36,10,236,17,93,111,94,88.6,8.9,3604669,606784,3451176,1017967,565041,281383,0,0,0,1,23,299,0,0,0,0,0,0,0,0,0,3025,1680,1345,176,123,53,2758,969,1789,64,886,1963,8,0,6971,90,29,6,0,0,0,0,0,0,3,1,120
R29363,ìﬁó«åß,ìcå¥ñ{í¨,31691,15184,16507,31510,15095,16415,4061,2097,1964,18367,8945,9422,9154,4080,5074,4211,1725,2486,145,220,348,1035,1008,11463,11447,31288,7539,2284,3234,1816,1101,143,72,2109,2109,1121,3,0,0,100,166,0,2,33,330,14,44,26,91,93,24,101,11,83,11167,85,0,0,536,2430,0,12,761,3054,246,172,92,563,427,150,1666,158,815,602,433,98,7.9,12041934,3710524,11382886,3716541,1224039,1498714,0,5,359,5,107,1551,2,55,788,0,0,0,0,1,770,14092,8049,6043,673,452,221,12203,4237,7966,486,3691,9370,6,1,32016,968,249,78,7,2,27,14,62,11,45,3,543
R29385,ìﬁó«åß,ë]é¢ë∫,1549,719,830,1534,713,821,108,51,57,749,372,377,692,296,396,392,151,241,15,4,22,28,46,622,621,1525,337,157,233,129,100,6,1,4776,644,128,2,1,0,28,24,0,0,2,27,1,1,1,13,9,2,3,4,10,503,14,4,0,73,110,0,0,6,75,8,5,1,60,35,41,33,20,18,91,111,87.9,4.3,2491811,115543,2435928,366563,242414,170029,58019,0,0,1,11,41,1,13,16,0,0,0,0,0,0,749,402,347,30,25,5,661,241,420,140,160,439,3,0,1446,472,24,4,0,0,2,0,1,1,1,0,0
R29386,ìﬁó«åß,å‰èÒë∫,1759,812,947,1755,810,945,74,34,40,737,383,354,948,395,553,614,241,373,4,2,38,30,48,748,744,1689,391,223,295,196,174,0,1,7958,947,122,0,0,0,25,18,0,0,1,29,0,1,0,8,9,0,8,4,19,381,0,0,0,66,47,0,0,1,75,0,11,0,16,15,0,101,21,28,110,161,85.9,4.4,2390270,103645,2042516,384395,351015,221199,46191,0,0,1,10,21,1,12,16,0,0,0,0,0,0,815,492,323,46,32,14,824,254,570,176,187,446,5,0,1646,388,26,6,0,0,3,1,1,1,1,0,0
R29401,ìﬁó«åß,çÇéÊí¨,7195,3396,3799,7188,3393,3795,732,381,351,3855,1918,1937,2607,1096,1511,1352,517,835,6,20,88,162,176,2396,2383,6658,1477,432,788,444,302,20,3,2579,886,324,1,0,0,50,46,0,1,1,89,2,7,9,12,21,2,30,6,47,2309,1,0,0,195,728,0,11,12,395,14,15,49,55,92,2,597,33,110,160,223,93.6,9.4,3581850,673833,3374932,874736,350514,399321,40655,2,56,1,21,320,1,17,143,0,0,0,0,1,710,2917,1697,1220,121,84,37,3343,1193,2150,120,741,1954,11,0,6777,1354,65,9,0,0,9,4,14,5,31,1,93
R29402,ìﬁó«åß,ñæì˙çÅë∫,5523,2613,2910,5505,2607,2898,524,273,251,2978,1460,1518,2019,878,1141,1033,395,638,18,28,77,146,128,1779,1775,5289,1007,293,579,321,183,22,5,2410,1060,276,2,0,0,44,31,0,1,5,62,3,13,3,39,13,4,13,4,39,1454,16,0,0,207,263,0,2,40,202,12,40,4,176,40,13,267,30,142,284,260,96.8,6.2,4205404,419486,3768799,653509,552901,601137,60414,1,64,1,21,248,1,12,108,0,0,0,0,0,0,2528,1458,1070,111,77,34,2338,795,1543,282,513,1704,4,0,5567,240,56,24,0,0,6,2,3,2,10,1,98
R29424,ìﬁó«åß,è„ñqí¨,22054,10327,11727,21538,10128,11410,2317,1226,1091,12004,5715,6289,7136,3034,4102,3316,1248,2068,94,102,283,702,720,8085,8065,20854,5623,1643,2538,1454,843,57,37,614,512,489,0,0,0,41,33,0,3,5,137,6,12,15,58,68,25,56,3,27,5195,0,0,0,197,573,0,7,106,1329,56,37,62,495,376,115,1655,18,169,52,83,97.5,14,7823799,2110934,7644677,2388463,683882,1042525,23438,2,298,3,75,955,2,47,543,0,0,0,0,0,0,8760,4915,3845,465,315,150,8984,3076,5908,58,2095,6225,13,1,22494,183,112,53,4,3,11,8,35,16,47,4,446
R29425,ìﬁó«åß,â§éõí¨,23025,10894,12131,22827,10813,12014,3097,1607,1490,13770,6493,7277,6050,2728,3322,2617,1095,1522,162,212,228,869,872,9347,9336,22897,6219,2433,2484,1423,987,106,41,701,526,857,0,0,0,44,39,0,4,10,202,28,103,41,119,82,50,83,4,48,7861,0,0,0,347,628,0,21,476,1522,432,258,125,1205,390,500,1158,213,586,26,90,96.1,4,9599946,3068898,9200737,2809594,729459,1354469,0,3,282,3,86,1303,2,41,538,0,0,0,0,1,633,10204,5739,4465,554,359,195,8596,2878,5718,47,2328,7711,3,1,24159,298,166,108,2,1,30,14,36,17,56,2,842
R29426,ìﬁó«åß,çLóÀí¨,33487,15940,17547,33344,15879,17465,5151,2573,2578,20478,9770,10708,7851,3592,4259,3380,1362,2018,135,267,283,1069,1015,11012,11003,33073,8038,1367,2796,1464,717,102,47,1630,1607,1075,4,0,0,107,244,1,5,13,249,5,36,31,103,79,29,81,12,76,9157,18,0,0,693,2500,52,13,273,1806,65,111,113,1005,447,444,1221,87,309,380,424,93.8,8.1,11105696,4066451,10776679,3986898,830865,1333501,18963,5,271,5,138,2069,2,70,1015,0,0,0,0,1,514,15385,8805,6580,629,413,216,11553,3775,7778,265,4099,10499,22,1,35012,1184,198,89,3,0,21,15,19,15,23,7,839
R29427,ìﬁó«åß,âÕçáí¨,17941,8424,9517,17849,8382,9467,1964,1030,934,9726,4626,5100,6219,2748,3471,2804,1148,1656,85,76,251,486,482,6712,6696,17466,4685,1284,2427,1425,749,46,22,823,784,453,0,0,0,28,46,0,5,10,119,5,21,8,52,46,17,54,5,37,4202,0,0,0,191,717,0,11,337,1086,40,74,29,518,309,191,551,18,130,121,197,103.4,21.1,7091273,2052623,7067589,2509608,624454,622963,693,1,74,3,61,742,3,76,1089,0,0,0,0,1,1121,7127,4049,3078,362,247,115,7908,2810,5098,86,1625,5112,3,1,17801,217,105,42,2,0,18,10,17,12,33,2,255
R29441,ìﬁó«åß,ãgñÏí¨,7399,3399,4000,7341,3365,3976,473,237,236,3536,1729,1807,3389,1433,1956,1907,749,1158,57,14,166,137,243,2946,2938,7167,1604,793,1104,651,560,18,8,9565,1660,715,3,0,0,78,177,0,1,8,177,6,18,15,77,44,5,25,11,70,3322,30,0,0,260,965,0,1,55,656,34,56,54,439,188,16,307,68,193,76,302,99.8,8,6129362,706071,5838752,1201816,381468,695922,158455,1,27,2,28,193,1,15,85,0,0,0,0,1,66,3318,1874,1444,123,91,32,3474,1192,2282,164,1095,2015,9,1,6931,2676,159,50,0,2,5,6,12,7,8,1,54
R29442,ìﬁó«åß,ëÂóÑí¨,18069,8562,9507,17925,8502,9423,2101,1085,1016,10651,5200,5451,5301,2268,3033,2639,1003,1636,143,69,226,348,470,6509,6499,17473,4257,1332,1790,985,756,45,27,3810,1834,757,6,0,1,67,97,5,3,24,216,9,19,11,71,78,16,50,11,73,5787,84,0,37,355,854,171,8,464,1556,74,77,36,339,361,85,850,81,355,131,257,100.1,9,8160464,1843372,8028073,2468763,460094,708124,198157,2,27,3,71,793,1,37,400,0,0,0,0,1,394,7777,4337,3440,478,332,146,6996,2453,4543,314,2085,5287,32,1,17769,1604,176,61,4,2,11,7,63,9,42,4,412
R29443,ìﬁó«åß,â∫ésí¨,5664,2650,3014,5649,2641,3008,387,200,187,2904,1450,1454,2373,1000,1373,1351,522,829,15,16,100,93,183,2232,2223,5592,1251,583,792,450,427,15,3,6199,1308,322,4,0,0,40,62,0,0,5,92,3,10,8,8,15,2,15,7,51,1847,25,0,0,152,540,0,0,25,335,20,33,26,23,29,17,313,180,129,140,257,96.5,14.1,4472687,503960,4208650,872155,364789,347484,445499,4,30,4,16,147,1,13,86,0,0,0,0,0,0,2597,1469,1128,129,94,35,2527,875,1652,273,709,1598,10,1,5501,1649,56,7,0,0,4,3,6,3,5,1,32
R29444,ìﬁó«åß,çïëÍë∫,660,309,351,656,308,348,33,15,18,301,161,140,326,133,193,185,69,116,3,5,16,22,24,311,310,659,153,111,108,66,73,4,2,4770,150,68,2,0,0,10,18,0,0,1,15,1,0,0,6,1,0,2,2,10,258,20,0,0,45,61,0,0,3,46,6,0,0,29,1,0,20,10,17,1,27,105.9,4.8,1460339,66926,1447241,216289,67503,108688,34465,1,0,1,10,17,1,6,5,0,0,0,0,0,0,284,158,126,7,6,1,335,130,205,35,63,179,2,0,717,88,10,2,0,0,1,1,1,0,0,0,0
R29446,ìﬁó«åß,ìVêÏë∫,1354,647,707,1353,646,707,116,70,46,611,323,288,627,254,373,399,150,249,1,7,25,42,60,628,627,1350,326,217,219,135,151,6,0,17566,484,217,1,0,0,24,11,2,0,3,65,0,2,0,73,13,0,5,5,13,842,8,0,0,115,63,8,0,7,177,0,7,0,330,19,0,25,29,54,5,78,92.8,10.3,2285962,167514,2049333,317671,154661,219017,54642,1,23,1,11,40,1,12,28,0,0,0,0,0,0,670,378,292,17,15,2,551,184,367,42,113,514,1,0,1424,142,61,27,0,0,1,1,1,0,3,0,0
R29447,ìﬁó«åß,ñÏîóêÏë∫,449,219,230,449,219,230,30,11,19,215,125,90,204,83,121,135,55,80,0,0,9,14,33,227,226,441,85,109,52,34,62,1,0,15490,489,45,2,2,0,9,5,0,0,0,9,1,1,0,10,1,0,1,2,2,197,10,32,0,49,19,0,0,0,15,1,1,0,30,1,0,10,21,8,2,16,99.9,9.5,1632263,72525,1516303,127515,198984,81225,87913,0,0,1,5,7,1,7,3,0,0,0,0,0,0,201,127,74,13,9,4,205,72,133,27,49,125,1,0,397,24,9,2,0,0,1,0,1,0,0,0,0
R29449,ìﬁó«åß,è\í√êÏë∫,3508,1858,1650,3498,1854,1644,287,149,138,1812,1119,693,1409,590,819,898,355,543,10,12,53,108,145,1578,1569,3196,798,635,493,272,340,13,4,67238,2756,238,3,0,0,51,16,2,2,6,49,3,1,6,50,14,0,10,8,17,1288,25,0,0,382,75,25,7,50,136,18,1,36,209,18,0,192,37,77,64,179,96.3,7.5,6155583,744483,6016563,776932,955219,287854,162851,0,0,2,22,101,1,13,54,0,0,0,0,1,85,1415,903,512,40,27,13,1766,779,987,105,298,1005,4,0,3332,1002,48,17,0,0,5,1,5,1,0,0,0
R29450,ìﬁó«åß,â∫ñkéRë∫,895,422,473,889,417,472,64,32,32,407,217,190,424,173,251,272,101,171,6,2,21,30,41,517,516,888,255,245,142,98,156,5,1,13339,1180,80,4,0,0,15,4,2,0,0,13,1,4,2,7,6,0,2,4,16,442,38,0,0,76,18,13,0,0,33,8,13,63,65,19,0,21,18,57,7,24,96,5.6,1690413,248892,1622776,215934,176737,179641,1157,0,0,1,10,15,1,11,13,0,0,0,0,0,0,385,221,164,13,11,2,433,158,275,35,62,288,0,0,921,189,12,3,0,0,1,1,1,0,0,0,0
R29451,ìﬁó«åß,è„ñkéRë∫,512,267,245,511,266,245,17,12,5,243,146,97,252,109,143,139,57,82,1,1,11,20,22,270,270,512,130,115,89,62,61,4,1,27422,827,74,6,0,0,13,11,0,0,0,15,0,1,0,9,8,0,2,2,7,247,24,0,0,65,30,0,0,0,40,0,1,0,22,32,0,10,8,15,1,2,95.4,3.5,1612224,92427,1336226,145714,97575,95341,7255,0,0,1,6,4,1,7,2,0,0,0,0,0,0,256,159,97,4,3,1,235,93,142,24,55,173,0,0,509,91,12,1,0,0,1,0,1,0,0,0,0
R29452,ìﬁó«åß,êÏè„ë∫,1313,621,692,1310,620,690,59,34,25,483,246,237,771,341,430,476,200,276,3,6,43,50,70,680,680,1313,352,269,270,185,209,3,1,26926,1346,153,4,2,0,18,34,0,0,1,31,1,3,5,20,9,4,3,4,14,568,17,11,0,97,155,0,0,2,82,8,10,8,81,14,8,26,19,30,1,38,93.5,5,3275064,390351,3068231,303487,314001,237147,22931,0,0,1,9,21,1,10,16,0,0,0,0,0,0,486,282,204,18,14,4,749,291,458,46,152,283,1,1,1433,60,28,7,0,0,1,1,1,0,0,0,0
R29453,ìﬁó«åß,ìåãgñÏë∫,1745,833,912,1738,833,905,92,54,38,714,370,344,935,407,528,554,219,335,7,5,59,37,51,830,829,1743,435,295,325,216,229,6,1,13165,563,147,2,0,0,17,39,0,0,4,23,1,2,3,12,8,0,8,6,22,658,9,0,0,72,223,0,0,51,59,7,3,10,50,35,0,46,29,64,1,72,96.6,8.3,2591765,131965,2409519,357368,220654,230857,64051,1,16,1,9,28,1,15,22,0,0,0,0,0,0,707,424,283,38,29,9,903,323,580,74,217,411,1,0,1802,543,21,4,0,0,6,0,3,0,0,0,0
R30201,òaâÃéRåß,òaâÃéRés,364154,171215,192939,360592,169798,190794,44519,22757,21762,211753,102859,108894,105954,44446,61508,50822,19092,31730,2466,2578,4486,7679,7924,153089,152798,355502,91995,48369,37387,20594,22322,1751,649,20885,14727,16382,16,8,1,1195,1303,11,132,372,4306,334,1274,635,1735,1414,505,1667,104,1370,166736,374,63,6,10236,25544,485,2179,11352,33588,6097,4447,3749,14515,6565,5648,28310,896,12682,2173,1478,98.9,11.7,151212422,58987486,149899273,65578312,24695942,13625015,457313,26,3081,54,1167,17676,25,666,9718,1,47,504,199,14,11812,162655,90595,72060,8131,5266,2865,132002,43765,88237,3023,37094,114600,1,2,369291,42985,3094,1519,55,34,432,230,1622,322,1225,57,6658
R30202,òaâÃéRåß,äCìÏés,51860,24175,27685,51552,24067,27485,5659,2875,2784,28330,13785,14545,17625,7385,10240,9192,3477,5715,175,250,773,997,1286,20678,20638,50890,12618,5484,5938,3417,3303,146,64,10106,6183,2619,5,1,0,200,362,1,2,77,715,28,173,70,233,221,70,223,21,217,20245,24,4,0,1136,5361,182,15,1530,4340,330,431,465,1135,641,319,2992,401,939,1270,512,97.1,6.4,23858873,6960351,23489935,7967853,1891514,2493338,298890,9,291,13,197,2113,7,111,1029,0,0,0,0,2,842,23747,13004,10743,1170,825,345,20237,6944,13293,2191,6228,15171,11,2,51290,16798,521,204,7,5,53,32,107,42,129,2,311
R30203,òaâÃéRåß,ã¥ñ{és,63621,29923,33698,63357,29822,33535,7770,3934,3836,37244,17933,19311,18434,7937,10497,8770,3314,5456,201,347,763,1230,1478,23653,23596,62025,15562,5209,6472,3571,2845,211,86,13055,5814,2517,9,0,1,153,305,2,12,41,640,41,160,84,280,235,116,246,17,175,18614,66,0,20,724,2609,37,57,717,4225,380,417,359,1933,812,824,3927,442,1065,1026,869,100.4,13.3,25699711,6877490,25040908,9672870,1509845,2320850,438588,3,59,15,263,2987,8,152,1591,0,0,0,0,4,1682,29434,16192,13242,1418,985,433,23910,8239,15671,1796,6311,20898,9,1,62788,5215,541,246,8,3,64,34,143,41,123,14,1240
R30204,òaâÃéRåß,óLìcés,28470,13453,15017,28261,13375,14886,3351,1741,1610,16059,7889,8170,8972,3768,5204,4452,1627,2825,119,137,374,445,733,10576,10562,28046,6203,2522,2819,1525,1401,104,35,3683,3017,1636,8,0,0,184,136,1,0,31,452,20,200,35,146,133,62,101,9,118,10427,185,0,0,1127,2407,13,0,330,2170,203,334,290,682,330,200,1397,141,618,865,210,102.1,10.3,13418834,3511622,12446789,4415369,464729,1225979,124519,2,140,7,125,1238,4,74,697,0,0,0,0,1,576,13457,7430,6027,590,414,176,10540,3573,6967,1978,3719,7323,8,1,28317,1725,372,121,3,2,28,15,56,17,61,7,623
R30205,òaâÃéRåß,å‰ñVés,24801,11976,12825,24501,11861,12640,3057,1584,1473,14462,7348,7114,7118,2953,4165,3673,1341,2332,167,134,299,554,858,9913,9862,23657,5443,3096,2304,1206,1417,102,49,4391,2831,1824,9,0,0,149,104,3,8,24,542,30,101,80,258,162,65,137,15,137,11987,71,0,0,790,1380,159,69,407,3031,380,214,321,1435,517,353,1901,322,637,608,229,107.7,11.9,13234197,3373028,13184473,5121001,840024,1214341,37322,6,214,6,103,1082,5,72,550,0,0,0,0,2,1239,11261,6158,5103,688,482,206,9073,3355,5718,1370,2467,7363,9,1,23640,4995,459,231,7,3,33,17,124,24,101,6,551
R30206,òaâÃéRåß,ìcï”és,74770,35108,39662,74390,34975,39415,9229,4589,4640,41901,20546,21355,23289,9769,13520,12323,4694,7629,221,420,1013,1612,2204,32163,32062,73034,18785,10450,8165,4508,5243,303,112,102691,12363,4990,23,1,1,456,374,2,29,70,1396,84,251,158,772,460,134,386,55,338,31892,490,44,8,2439,3155,104,188,1118,7624,812,714,748,4243,1448,501,5298,858,2100,2112,806,96.7,8.1,44492458,8110765,43015817,13822205,3907128,4651070,1376326,8,398,25,348,3629,15,208,1945,0,0,0,0,5,2274,35365,18984,16381,1831,1245,586,26014,9024,16990,4349,6631,23867,39,2,74469,10246,1072,642,11,4,81,41,238,57,133,17,1408
R30207,òaâÃéRåß,êVã{és,29331,13586,15745,28966,13451,15515,3349,1749,1600,15401,7499,7902,10126,4078,6048,5407,1964,3443,147,172,442,681,960,13617,13564,28359,7767,5001,3513,2126,2776,113,53,25523,2407,2397,10,2,1,180,96,4,18,44,709,42,159,65,418,214,74,182,19,160,13369,81,2,27,1110,626,75,118,568,3417,413,488,240,1944,678,214,2243,188,937,72,106,100,15.7,17962561,3113515,17198377,5578276,877805,1539133,157604,2,76,5,106,1268,6,90,789,0,0,0,0,3,1369,12457,6643,5814,618,409,209,11573,4036,7537,252,2023,9845,8,1,28391,3325,543,372,4,2,36,28,90,36,55,8,674
