"pref","year","suicide","unemp"
"宮崎",2014,23.9,3.1
"鹿児島",2014,21.4,3.9
"沖縄",2014,20.3,5.4
"北海道",2015,19.5,3.5
"青森",2015,20.5,4.2
"岩手",2015,23.3,2.9
"宮城",2015,17.4,3.7
"秋田",2015,25.7,3.5
"山形",2015,21.7,2.7
"福島",2015,21.6,3.1
"茨城",2015,18.6,3.2
"栃木",2015,19.5,3.1
"群馬",2015,21.6,2.8
"埼玉",2015,18,3.2
"千葉",2015,19.3,3.1
"東京",2015,17.4,3.6
"神奈川",2015,16.8,3.3
"新潟",2015,22,2.9
"富山",2015,20.5,2.5
"石川",2015,18.3,2.3
"福井",2015,15.4,1.8
"山梨",2015,16.8,2.8
"長野",2015,18.2,2.7
"岐阜",2015,18.8,2.3
"静岡",2015,18.7,2.7
"愛知",2015,16,2.5
"三重",2015,19,2.2
"滋賀",2015,17.4,2.2
"京都",2015,16.5,3.3
"大阪",2015,18.7,4.2
"兵庫",2015,17.6,3.7
"奈良",2015,15.9,3.2
"和歌山",2015,19.2,2.4
"鳥取",2015,18.2,2.7
"島根",2015,22.9,2.6
"岡山",2015,18.2,3.1
"広島",2015,17.5,3
"山口",2015,20,2.8
"徳島",2015,17.2,3
"香川",2015,16.2,2.8
"愛媛",2015,19.3,2.8
"高知",2015,15.7,3
"福岡",2015,17.8,4.1
"佐賀",2015,16.6,3
"長崎",2015,16.9,3.2
"熊本",2015,19.9,3.5
"大分",2015,16.5,2.9
"宮崎",2015,23.2,3.2
"鹿児島",2015,19,3.5
"沖縄",2015,20.7,5.1
"北海道",2016,17.5,3.6
"青森",2016,21,3.6
